"course_id","question_text","average_score","n_scored"
"20260402_SHINY","The course content was well structured",2.66666666666667,12
"20260402_SHINY","The balance of theoretical and practical content was",1.83333333333333,12
"20260402_SHINY","The exercises were useful and well integrated into the course",2.75,12
"20260402_SHINY","Please tell us your overall rating for the entire course",3.5,12
"20260402_SHINY","The course met my expectations",2.5,12
"20260402_SHINY","Have you used the tool(s)/resource(s) covered in the course before?",2.41666666666667,12
"20260408_ISEDA","The course was well organised (communication, registration, logistics, administration, etc)",2.89473684210526,19
"20260408_ISEDA","For the topics covered the course was",1.47368421052632,19
"20260408_ISEDA","The difficulty of the course was appropriate for my knowledge",1.31578947368421,19
"20260408_ISEDA","The course content was well structured",2.52631578947368,19
"20260408_ISEDA","The balance of theoretical and practical content was",1.68421052631579,19
"20260408_ISEDA","The exercises were useful and well integrated into the course",2.63157894736842,19
"20260408_ISEDA","Please tell us your overall rating for the entire course",3.94736842105263,19
"20260408_ISEDA","The course met my expectations",2.52631578947368,19
"20260408_ISEDA","Have you used the tool(s)/resource(s) covered in the course before?",1.89473684210526,19
"20260414_DARPY","The course was well organised (communication, registration, logistics, administration, etc)",3,6
"20260414_DARPY","For the topics covered the course was",1.83333333333333,6
"20260414_DARPY","The difficulty of the course was appropriate for my knowledge",2,6
"20260414_DARPY","The course content was well structured",2.83333333333333,6
"20260414_DARPY","The balance of theoretical and practical content was",1.66666666666667,6
"20260414_DARPY","The exercises were useful and well integrated into the course",2.83333333333333,6
"20260414_DARPY","Please tell us your overall rating for the entire course",4.5,6
"20260414_DARPY","The course met my expectations",2.83333333333333,6
"20260414_DARPY","Have you used the tool(s)/resource(s) covered in the course before?",2.33333333333333,6
"20260416_DIRNA","The course was well organised (communication, registration, logistics, administration, etc)",2.8,15
"20260416_DIRNA","For the topics covered the course was",1.6,15
"20260416_DIRNA","The difficulty of the course was appropriate for my knowledge",1.73333333333333,15
"20260416_DIRNA","The course content was well structured",2.6,15
"20260416_DIRNA","The balance of theoretical and practical content was",1.86666666666667,15
"20260416_DIRNA","The exercises were useful and well integrated into the course",2.53333333333333,15
"20260416_DIRNA","Please tell us your overall rating for the entire course",4.26666666666667,15
"20260416_DIRNA","The course met my expectations",2.46666666666667,15
"20260416_DIRNA","Have you used the tool(s)/resource(s) covered in the course before?",2.53333333333333,15
"20260420_FSSQL","The course was well organised (communication, registration, logistics, administration, etc)",3,18
"20260420_FSSQL","For the topics covered the course was",1.66666666666667,18
"20260420_FSSQL","The difficulty of the course was appropriate for my knowledge",1.83333333333333,18
"20260420_FSSQL","The course content was well structured",2.94444444444444,18
"20260420_FSSQL","The balance of theoretical and practical content was",1.88888888888889,18
"20260420_FSSQL","The exercises were useful and well integrated into the course",2.94444444444444,18
"20260420_FSSQL","Please tell us your overall rating for the entire course",4.38888888888889,18
"20260420_FSSQL","The course met my expectations",2.77777777777778,18
"20260420_FSSQL","Have you used the tool(s)/resource(s) covered in the course before?",2,18
"20260427_FEDBX","The course was well organised (communication, registration, logistics, administration, etc)",2.90909090909091,11
"20260427_FEDBX","For the topics covered the course was",1.63636363636364,11
"20260427_FEDBX","The difficulty of the course was appropriate for my knowledge",1.72727272727273,11
"20260427_FEDBX","The course content was well structured",2.72727272727273,11
"20260427_FEDBX","The balance of theoretical and practical content was",2,11
"20260427_FEDBX","The exercises were useful and well integrated into the course",2.54545454545455,11
"20260427_FEDBX","Please tell us your overall rating for the entire course",4.09090909090909,11
"20260427_FEDBX","The course met my expectations",2.63636363636364,11
"20260427_FEDBX","Have you used the tool(s)/resource(s) covered in the course before?",1.36363636363636,11
"20260603_ISTDA","The course was well organised (communication, registration, logistics, administration, etc)",2.75,20
"20260603_ISTDA","For the topics covered the course was",1.75,20
"20260603_ISTDA","The difficulty of the course was appropriate for my knowledge",1.55,20
"20260603_ISTDA","The course content was well structured",2.7,20
"20260603_ISTDA","The balance of theoretical and practical content was",2,20
"20260603_ISTDA","The exercises were useful and well integrated into the course",2.65,20
"20260603_ISTDA","Please tell us your overall rating for the entire course",4.3,20
"20260603_ISTDA","The course met my expectations",2.6,20
"20260603_ISTDA","Have you used the tool(s)/resource(s) covered in the course before?",1.95,20
"20260608_IMPUT","The course was well organised (communication, registration, logistics, administration, etc)",2.58333333333333,12
"20260608_IMPUT","For the topics covered the course was",0.916666666666667,12
"20260608_IMPUT","The difficulty of the course was appropriate for my knowledge",1.27272727272727,11
"20260608_IMPUT","The course content was well structured",2.25,12
"20260608_IMPUT","The balance of theoretical and practical content was",1.66666666666667,12
"20260608_IMPUT","The exercises were useful and well integrated into the course",2.08333333333333,12
"20260608_IMPUT","Please tell us your overall rating for the entire course",3.33333333333333,12
"20260608_IMPUT","The course met my expectations",1.83333333333333,12
"20260608_IMPUT","Have you used the tool(s)/resource(s) covered in the course before?",2.5,12
